# especifica porta, baud e filtros para enviar “cru” ao dar Enter
pio device monitor \
  --port COM3 \
  --baud 115200 \
  --filter direct,send_on_enter





18:14:15.824 > Dados Camas28893, T1:23.76, T2:23.76, T3:23.49, T4:23.49
18:14:16.979 > Dados Camas30048, T1:23.76, T2:23.76, T3:23.49, T4:23.49
18:14:18.134 > Dados Camas31203, T1:23.76, T2:23.76, T3:23.49, T4:23.49
18:14:19.289 > Dados Camas32358, T1:23.76, T2:23.76, T3:23.49, T4:23.49
18:14:20.444 > Dados Camas33513, T1:23.76, T2:23.76, T3:23.49, T4:23.49
18:14:21.599 > Dados Camas34668, T1:23.76, T2:23.76, T3:23.49, T4:23.49
18:14:22.753 > Dados Camas35823, T1:23.76, T2:23.76, T3:23.49, T4:23.49
18:14:23.909 > Dados Camas36978, T1:23.76, T2:23.76, T3:23.49, T4:23.49
18:14:25.064 > Dados Camas38133, T1:23.76, T2:23.76, T3:23.49, T4:23.49
18:14:26.219 > Dados Camas39288, T1:23.76, T2:23.76, T3:23.49, T4:23.49
18:14:27.373 > Dados Camas40443, T1:23.76, T2:23.76, T3:23.49, T4:23.49
18:14:28.529 > Dados Camas41598, T1:23.76, T2:23.76, T3:23.49, T4:23.49
18:14:29.684 > Dados Camas42753, T1:23.76, T2:23.76, T3:23.49, T4:23.49
18:14:30.838 > Dados Camas43908, T1:23.76, T2:23.76, T3:23.49, T4:23.49
18:14:31.994 > Dados Camas45063, T1:23.76, T2:23.76, T3:23.49, T4:23.49



